Latitude	Longitude
43.00020	-115.19280
42.99990	-115.19480
42.99999	-115.19497
43.00117	-115.19495
43.00429	-115.19472
43.00849	-115.19458
43.01203	-115.19504
43.01475	-115.19576
43.01683	-115.19610
43.02072	-115.19673
43.02309	-115.19660
43.02526	-115.19746
43.02675	-115.19820
43.02823	-115.19999
43.02989	-115.20235
43.03123	-115.20371
43.03276	-115.20436
43.03446	-115.20466
43.03556	-115.20476
43.03659	-115.20485
43.03842	-115.20644
43.03967	-115.20679
43.04058	-115.20700
43.04193	-115.20647
43.04307	-115.20589
43.04463	-115.20390
43.04702	-115.20133
43.04816	-115.19974
43.04958	-115.19785
43.05155	-115.19507
43.05303	-115.19139
43.05444	-115.18743
43.05620	-115.18370
43.05715	-115.18121
43.05852	-115.17895
43.06069	-115.17660
43.06220	-115.17595
43.06442	-115.17399
43.06646	-115.17246
43.06822	-115.17183
43.06944	-115.17037
43.07002	-115.16836
43.07061	-115.16583
43.07108	-115.16536
43.07264	-115.16495
43.07363	-115.16292
43.07447	-115.16209
43.07509	-115.16152
43.07665	-115.16075
43.07805	-115.15631
43.07969	-115.14630
43.07854	-115.14318
43.07717	-115.13849
43.07557	-115.13521
43.07304	-115.13099
43.06832	-115.13070
43.06451	-115.13040
43.06186	-115.13041
43.06036	-115.13323
43.06047	-115.13510
43.06184	-115.13823
43.06045	-115.14308
43.05906	-115.14465
43.05802	-115.14621
43.05651	-115.14762
43.05524	-115.15091
43.05442	-115.15435
43.05268	-115.15717
43.05107	-115.15827
43.04876	-115.15922
43.04518	-115.15907
43.03988	-115.15784
43.03436	-115.15426
43.02942	-115.14880
43.02551	-115.14397
43.02184	-115.13648
43.02047	-115.13180
43.02037	-115.12836
43.02198	-115.12648
43.02476	-115.12460
43.02626	-115.12334
43.02707	-115.12021
43.02616	-115.11662
43.02582	-115.11318
43.02468	-115.10850
43.02400	-115.10350
43.02390	-115.09819
43.02495	-115.09287
43.02680	-115.08911
43.02970	-115.08425
43.03362	-115.08096
43.03639	-115.08016
43.03824	-115.07844
43.04067	-115.07671
43.04182	-115.07467
43.04229	-115.07248
43.04206	-115.07045
43.04114	-115.06842
43.03953	-115.06671
43.03769	-115.06500
43.03562	-115.06282
43.03493	-115.06063
43.03264	-115.05517
43.03116	-115.04752
43.02967	-115.04034
43.02795	-115.03597
43.02611	-115.03113
43.02336	-115.02677
43.02267	-115.02302
43.02279	-115.01959
43.02372	-115.01520
43.02592	-115.00941
43.02777	-115.00440
43.03178	-114.99912
43.03465	-114.99615
43.03752	-114.99083
43.04016	-114.98521
43.04108	-114.98005
43.04144	-114.97333
43.04098	-114.96708
43.04191	-114.95661
43.04365	-114.93958
43.04561	-114.92723
43.04871	-114.91738
43.05502	-114.90143
43.06018	-114.88610
43.06122	-114.87844
43.06122	-114.87390
43.06088	-114.86859
43.06019	-114.86281
43.05722	-114.85844
43.05424	-114.85407
43.05011	-114.85267
43.04725	-114.85159
43.04507	-114.84878
43.04324	-114.84472
43.04152	-114.84082
43.04061	-114.83707
43.03957	-114.83129
43.03763	-114.81864
43.03636	-114.80286
43.03636	-114.78880
43.03693	-114.77724
43.03910	-114.76754
43.03956	-114.76191
43.03864	-114.75848
